"ANNEEMOIS";"num_TC";"TC_VOL"
"200411";100265;2
"200411";100267;6
"200411";100272;8
"200411";100274;6
"200411";100275;12
"200411";100276;6
"200411";100278;6
"200411";100279;8
"200411";100284;16
"200411";100287;8
"200411";100288;6
"200411";100289;6
"200411";100291;8
"200411";100293;0
"200411";100295;6
"200411";100298;14
"200411";100300;2
"200411";100302;0
"200411";100304;42
"200411";100306;56
"200411";100307;4
"200411";100309;22
"200411";100310;8
"200411";100311;4
"200411";100314;32
"200411";100317;6
"200411";100318;4
"200411";100319;4
"200411";100321;6
"200411";100322;20
"200411";100323;8
"200411";100325;14
"200411";100327;4
"200411";100328;4
"200411";100329;2
"200411";100331;8
"200411";100332;20
"200411";100334;8
"200411";100335;4
"200411";100336;8
"200411";100338;12
"200411";100339;2
"200411";100340;4
"200411";100344;12
"200411";100346;2
"200411";100347;6
"200411";100350;8
"200411";100352;14
"200411";100353;2
"200411";100356;4
"200411";100358;4
"200411";100359;12
"200411";100360;4
"200411";100362;6
"200411";100363;4
"200411";100365;2
"200411";100367;18
